BEG,114.950,207.71;BSM,115.650,273.65;LIN,112.250,87.50;MMP,113.350,106.17;NOV,111.650,84.92;SRN,113.700,114.84;TZO,117.250,157.41;VOG,110.450,39.34
BEG,114.950,263.43;BSM,115.650,288.91;LIN,112.250,30.81;MMP,113.350,89.05;NOV,111.650,63.40;SRN,113.700,89.71;TZO,117.250,329.49;VOG,110.450,25.43
BEG,114.950,260.09;BSM,115.650,289.15;LIN,112.250,37.73;MMP,113.350,89.80;NOV,111.650,65.39;SRN,113.700,90.89;TZO,117.250,343.70;VOG,110.450,27.53
BEG,114.950,254.88;BSM,115.650,289.26;LIN,112.250,44.25;MMP,113.350,90.64;NOV,111.650,67.37;SRN,113.700,92.15;TZO,117.250,3.33;VOG,110.450,29.66
BEG,114.950,243.91;BSM,115.650,287.57;LIN,112.250,50.77;MMP,113.350,92.95;NOV,111.650,70.16;SRN,113.700,95.69;TZO,117.250,20.88;VOG,110.450,31.50
BEG,114.950,235.92;BSM,115.650,285.36;LIN,112.250,55.41;MMP,113.350,95.28;NOV,111.650,72.44;SRN,113.700,99.28;TZO,117.250,35.24;VOG,110.450,32.44
BEG,114.950,228.21;BSM,115.650,284.02;LIN,112.250,60.59;MMP,113.350,96.78;NOV,111.650,74.42;SRN,113.700,101.43;TZO,117.250,70.91;VOG,110.450,33.90
BEG,114.950,218.92;BSM,115.650,284.60;LIN,112.250,64.27;MMP,113.350,96.58;NOV,111.650,75.34;SRN,113.700,100.81;TZO,117.250,81.52;VOG,110.450,35.85
BEG,114.950,216.48;BSM,115.650,287.34;LIN,112.250,62.49;MMP,113.350,94.54;NOV,111.650,74.02;SRN,113.700,97.65;TZO,117.250,70.63;VOG,110.450,36.27
BEG,114.950,218.99;BSM,115.650,290.03;LIN,112.250,59.84;MMP,113.350,92.53;NOV,111.650,72.41;SRN,113.700,94.65;TZO,117.250,61.75;VOG,110.450,36.01
BEG,114.950,209.31;BSM,115.650,292.13;LIN,112.250,59.97;MMP,113.350,91.43;NOV,111.650,71.99;SRN,113.700,92.98;TZO,117.250,61.73;VOG,110.450,36.74
BEG,114.950,183.08;BSM,115.650,293.07;LIN,112.250,62.26;MMP,113.350,91.49;NOV,111.650,72.76;SRN,113.700,92.99;TZO,117.250,66.69;VOG,110.450,38.15
BEG,114.950,162.59;BSM,115.650,291.93;LIN,112.250,66.92;MMP,113.350,93.01;NOV,111.650,74.92;SRN,113.700,95.05;TZO,117.250,76.17;VOG,110.450,40.32
BEG,114.950,160.01;BSM,115.650,288.64;LIN,112.250,72.45;MMP,113.350,95.39;NOV,111.650,77.71;SRN,113.700,98.28;TZO,117.250,87.05;VOG,110.450,42.52
BEG,114.950,158.19;BSM,115.650,285.42;LIN,112.250,77.32;MMP,113.350,97.41;NOV,111.650,80.18;SRN,113.700,100.94;TZO,117.250,95.49;VOG,110.450,44.63
BEG,114.950,159.03;BSM,115.650,282.30;LIN,112.250,81.05;MMP,113.350,99.08;NOV,111.650,82.10;SRN,113.700,103.13;TZO,117.250,101.73;VOG,110.450,46.13
BEG,114.950,161.41;BSM,115.650,279.09;LIN,112.250,84.36;MMP,113.350,100.67;NOV,111.650,83.82;SRN,113.700,105.25;TZO,117.250,107.43;VOG,110.450,47.27
BEG,114.950,162.46;BSM,115.650,276.61;LIN,112.250,86.95;MMP,113.350,101.86;NOV,111.650,85.16;SRN,113.700,106.80;TZO,117.250,111.44;VOG,110.450,48.25
BEG,114.950,162.77;BSM,115.650,273.59;LIN,112.250,90.04;MMP,113.350,103.21;NOV,111.650,86.78;SRN,113.700,108.52;TZO,117.250,115.56;VOG,110.450,49.60
BEG,114.950,164.17;BSM,115.650,270.47;LIN,112.250,93.09;MMP,113.350,104.62;NOV,111.650,88.37;SRN,113.700,110.34;TZO,117.250,119.82;VOG,110.450,50.75
BEG,114.950,164.59;BSM,115.650,266.52;LIN,112.250,96.79;MMP,113.350,106.26;NOV,111.650,90.36;SRN,113.700,112.38;TZO,117.250,124.05;VOG,110.450,52.48
BEG,114.950,168.40;BSM,115.650,264.40;LIN,112.250,99.38;MMP,113.350,107.63;NOV,111.650,91.60;SRN,113.700,114.26;TZO,117.250,128.72;VOG,110.450,52.71
BEG,114.950,170.03;BSM,115.650,260.51;LIN,112.250,103.52;MMP,113.350,109.53;NOV,111.650,93.77;SRN,113.700,116.68;TZO,117.250,133.55;VOG,110.450,54.26
BEG,114.950,174.12;BSM,115.650,261.03;LIN,112.250,104.37;MMP,113.350,110.09;NOV,111.650,93.91;SRN,113.700,117.65;TZO,117.250,136.91;VOG,110.450,53.23
BEG,114.950,178.54;BSM,115.650,262.64;LIN,112.250,104.00;MMP,113.350,110.13;NOV,111.650,93.35;SRN,113.700,118.03;TZO,117.250,139.72;VOG,110.450,51.50
BEG,114.950,183.02;BSM,115.650,265.34;LIN,112.250,101.64;MMP,113.350,109.38;NOV,111.650,91.85;SRN,113.700,117.41;TZO,117.250,141.05;VOG,110.450,49.15
BEG,114.950,183.28;BSM,115.650,268.11;LIN,112.250,97.55;MMP,113.350,107.75;NOV,111.650,89.90;SRN,113.700,115.33;TZO,117.250,136.95;VOG,110.450,47.78
BEG,114.950,186.91;BSM,115.650,270.87;LIN,112.250,93.55;MMP,113.350,106.40;NOV,111.650,87.92;SRN,113.700,113.77;TZO,117.250,135.23;VOG,110.450,45.72
BEG,114.950,191.04;BSM,115.650,273.08;LIN,112.250,89.83;MMP,113.350,105.25;NOV,111.650,86.18;SRN,113.700,112.45;TZO,117.250,133.88;VOG,110.450,43.88
BEG,114.950,196.13;BSM,115.650,273.56;LIN,112.250,88.69;MMP,113.350,105.27;NOV,111.650,85.60;SRN,113.700,112.76;TZO,117.250,138.04;VOG,110.450,42.50
BEG,114.950,202.20;BSM,115.650,274.17;LIN,112.250,86.92;MMP,113.350,105.23;NOV,111.650,84.79;SRN,113.700,113.07;TZO,117.250,144.30;VOG,110.450,40.78
BEG,114.950,206.19;BSM,115.650,274.43;LIN,112.250,85.82;MMP,113.350,105.31;NOV,111.650,84.32;SRN,113.700,113.47;TZO,117.250,150.40;VOG,110.450,39.63
